age,strontium.ratio
91.785253,0.707343
91.785253,0.707359
92.395786,0.70741
93.970611,0.707438
95.575768,0.707463
95.602863,0.70732
112.336906,0.707316
112.435019,0.707274
112.522509,0.70722
112.60125,0.707378
108.662,0.707355
109.304,0.707365
109.374,0.707301
117.161,0.707321
117.296,0.707425
104.423986,0.707447
104.462387,0.707495
104.551577,0.70745
104.701464,0.707458
104.786937,0.707468
104.864977,0.707441
106.062838,0.707426
106.097523,0.707255
115.185926,0.707247
115.594074,0.707277
116.586296,0.707465
123,0.707419
101.574,0.707194
114.441,0.707224
115.182,0.707266
115.236,0.707226
115.407,0.70725
115.41,0.707367
118.901,0.707389
119.163,0.707258
117.971,0.70727
117.974,0.707331
118.975,0.707384
98.06,0.707387
98.24,0.707425
99.84,0.707402
100.74,0.707453
101.5,0.707451
102.1,0.707428
102.81,0.707399
104.57,0.707436
105.34,0.70744
106.19,0.70741
106.2,0.707409
106.94,0.70739
107.46,0.707404
107.57,0.707409
108.01,0.707416
108.19,0.707402
108.4,0.707388
108.55,0.707364
108.75,0.707372
108.96,0.707381
108.97,0.707373
109.17,0.707373
109.36,0.707346
109.58,0.707379
109.76,0.707344
109.93,0.707307
110.09,0.70733
110.12,0.707318
110.37,0.707307
110.52,0.707319
110.69,0.707298
110.88,0.707306
111.29,0.707271
111.48,0.707254
111.69,0.707244
111.88,0.707221
112.21,0.707215
112.46,0.707252
112.66,0.707278
112.86,0.707374
118.687692,0.707446
119.782308,0.707425
120.192308,0.707449
120.308462,0.707454
120.456154,0.70744
120.586923,0.707465
120.992308,0.707437
121.142308,0.707459
121.313077,0.707459
121.791538,0.707452
121.873077,0.707492
122.064615,0.707483
122.334615,0.707446
122.410769,0.707464
122.517692,0.707453
122.712308,0.707352
93.071588,0.707372
93.09821,0.707386
93.130313,0.707382
93.163199,0.707382
93.187472,0.707396
93.19217,0.707432
93.2,0.707447
93.823266,0.707436
93.850671,0.707462
93.929754,0.707471
94.011969,0.707378
94.047204,0.707367
94.087919,
